# Ideographic Description Sequences (IDS) for CJK Unified Ideographs Extension J
# Supplement to BabelStone IDS.TXT <https://babelstone.co.uk/CJK/IDS.TXT>, whose last release covers
#	Unicode 16.0 and stops at U+323AF; this file covers the block the former does not.
# File Encoding: UTF-8 with BOM and CR/LF
# Unicode Version: 17.0 (September 2025)
# Total entries: 4,298
#
# The format, the component conventions (sections 5 to 9) and the numbered unencoded components ({n}) are
#	those of IDS.TXT; see its header.
#
# Sources:
#	The IDS column of the IRG Working Set 2021 (v7.0) review database <https://hc.jsecs.org/irg/ws2021/app/>,
#	from which Extension J was encoded, mapped to code points through the kIRG_*Source references of Unihan,
#	normalized to the IDS.TXT conventions, and checked character by character against the source glyphs of
#	the Unicode code charts. Source letters are those of IDS.TXT section 8.
#
# Kang Seonghoon is the sole author of this database and waives all rights to it as per IDS.TXT.
# Claude Opus 5.5 was used to semi-automatically prepare this database.
#
# CJK Unified Ideographs Extension J (4,298 characters)
# 4,298 characters added in Unicode version 17.0 (September 2025)
U+323B0	𲎰	^⿻丅𠃍$(U)
U+32A4C	𲩌	^⿰氵贡$(G)
U+32A4D	𲩍	^⿰世求$(T)
U+32A4E	𲩎	^⿰氵邢$(B)
U+32A4F	𲩏	^⿰氵岜$(G)
U+32A50	𲩐	^⿰氵盁$(T)
U+32A51	𲩑	^⿰氵那$(B)
U+32A52	𲩒	^⿱泥入$(GU)
U+32A53	𲩓	^⿰氵阮$(V)
U+32A54	𲩔	^⿰氵枕$(T)
U+32A55	𲩕	^⿰氵顷$(B)
U+32A56	𲩖	^⿲氵丰月$(B)
U+32A57	𲩗	^⿰氵⿱屯火$(B)
U+32A58	𲩘	^⿰氵⿰扌⿻⿻冖九丶$(V)
U+32A59	𲩙	^⿰氵卦$(V)
U+32A5A	𲩚	^⿰氵败$(G)
U+32A5B	𲩛	^⿰氵𱽐$(V)
U+32A5C	𲩜	^⿱𧢲水$(S)
U+32A5D	𲩝	^⿲氵𦍍亍$(T)
U+32A5E	𲩞	^⿰氵𫥾$(T)
U+32A5F	𲩟	^⿰法少$(G)
U+32A60	𲩠	^⿰氵政$(K)
U+32A61	𲩡	^⿰氵枮$(T)
U+32A62	𲩢	^⿰汫令$(V)
U+32A63	𲩣	^⿰氵苟$(T)
U+32A64	𲩤	^⿱削水$(GUB)
U+32A65	𲩥	^⿱泃分$(T)
U+32A66	𲩦	^⿰氵看$(V)
U+32A67	𲩧	^⿰氵⿱宀𠂢$(T)
U+32A68	𲩨	^⿱水音$(B)
U+32A69	𲩩	^⿰氵冠$(B)
U+32A6A	𲩪	^⿰氵庠$(B)
U+32A6B	𲩫	^⿰氵紅$(T)
U+32A6C	𲩬	^⿰氵架$(B)
U+32A6D	𲩭	^⿰氵飛$(B)
U+32A6E	𲩮	^⿰氵彧$(K)
U+32A6F	𲩯	^⿰氵䓁$(T)
U+32A70	𲩰	^⿱卝𣴎$(T)
U+32A71	𲩱	^⿰氵追$(B)
U+32A72	𲩲	^⿰氵恋$(G)
U+32A73	𲩳	^⿰氵宴$(T)
U+32A74	𲩴	^⿰氵恙$(B)
U+32A75	𲩵	^⿰氵害$(B)
U+32A76	𲩶	^⿰氵廽$(B)
U+32A77	𲩷	^⿰氵⿱百禾$(T)
U+32A78	𲩸	^⿰浢木$(B)
U+32A79	𲩹	^⿰氵捽$(V)
U+32A7A	𲩺	^⿰氵晟$(K)
U+32A7B	𲩻	^⿰浿少$(T)
U+32A7C	𲩼	^⿰氵敗$(B)
U+32A7D	𲩽	^⿰氵彫$(K)
U+32A7E	𲩾	^⿰氵凰$(T)
U+32A7F	𲩿	^⿰氵欲$(B)
U+32A80	𲪀	^⿰氵貧$(B)
U+32A81	𲪁	^⿰氵𥬡$(B)
U+32A82	𲪂	^⿰氵𥥴$(T)
U+32A83	𲪃	^⿰氵𱷥$(V)
U+32A84	𲪄	^⿰氵琵$(B)
U+32A85	𲪅	^⿰氵都$(U)
U+32A86	𲪆	^⿰氵菀$(T)
U+32A87	𲪇	^⿰氵𫈖$(T)
U+32A88	𲪈	^⿰氵創$(T)
U+32A89	𲪉	^⿰氵詞$(B)
U+32A8A	𲪊	^⿰氵廊$(V)
U+32A8B	𲪋	^⿲氵𫸧𫸧$(S)
U+32A8C	𲪌	^⿰氵⿱臤皿$(T)
U+32A8D	𲪍	^⿰求密$(T)
U+32A8E	𲪎	^⿰氵葢$(S)
U+32A8F	𲪏	^⿰氵萱$(T)
U+32A90	𲪐	^⿰氵𬝑$(T)
U+32A91	𲪑	^⿰氵罧$(B)
U+32A92	𲪒	^⿰氵愛$(T)
U+32A93	𲪓	^⿰㳉兹$(B)
U+32A94	𲪔	^⿰氵数$(T)
U+32A95	𲪕	^⿰氵殠$(G)
U+32A96	𲪖	^⿰氵碩$(K)
U+32A97	𲪗	^⿰氵𬚟$(T)
U+32A98	𲪘	^⿰氵碧$(T)
U+32A99	𲪙	^⿰氵⿵門米$(T)
U+32A9A	𲪚	^⿰氵熏$(T)
U+32A9B	𲪛	^⿰氵夐$(T)
U+32A9C	𲪜	^⿰氵領$(V)
U+32A9D	𲪝	^⿰氵兢$(B)
U+32A9E	𲪞	^⿰氵𥪞$(V)
U+32A9F	𲪟	^⿰氵察$(V)
U+32AA0	𲪠	^⿰氵𠏉$(B)
U+32AA1	𲪡	^⿰氵罵$(V)
U+32AA2	𲪢	^⿰氵輩$(B)
U+32AA3	𲪣	^⿰彼海$(V)
U+32AA4	𲪤	^⿰氵廚$(K)
U+32AA5	𲪥	^⿰滂平$(V)
U+32AA6	𲪦	^⿰氵𫇤$(T)
U+32AA7	𲪧	^⿰消剋$(G)
U+32AA8	𲪨	^⿰氵鮑$(G)
U+32AA9	𲪩	^⿰氵駦$(S)
U+32AAA	𲪪	^⿰氵篭$(V)
U+32AAB	𲪫	^⿱涼沝$(T)
U+32AAC	𲪬	^⿰氵遲$(T)
U+32AAD	𲪭	^⿰氵賷$(S)
U+32AAE	𲪮	^⿰氵壓$(V)
U+32AAF	𲪯	^⿰清星$(V)
U+32AB0	𲪰	^⿰氵𢀭$(V)
U+32AB1	𲪱	^⿰氵⿵門洛$(T)
U+32AB2	𲪲	^⿰氵⿺辶睪$(T)
U+32AB3	𲪳	^⿰氵簏$(G)
U+32AB4	𲪴	^⿰氵𣽨$(S)
U+32AB5	𲪵	^⿰涼頁$(T)
U+32AB6	𲪶	^⿰娄深$(V)
U+32AB7	𲪷	^⿰氵謠$(V)
U+32AB8	𲪸	^⿰漂見$(V)
U+32AB9	𲪹	^⿰氵⿱賏王$(T)
U+32ABA	𲪺	^⿰氵馥$(K)
U+32ABB	𲪻	^⿰氵鯈$(B)
U+32ABC	𲪼	^⿰氵雙$(B)
U+32ABD	𲪽	^⿰氵竅$(T)
U+32ABE	𲪾	^⿰氵繞$(V)
U+32ABF	𲪿	^⿰氵⿱賏正$(T)
U+32AC0	𲫀	^⿰氵𡗋$(V)
U+32AC1	𲫁	^⿱沈潭$(V)
U+32AC2	𲫂	^⿰氵𨆝$(V)
U+32AC3	𲫃	^⿰氵騰$(T)
U+32AC4	𲫄	^⿰氵籃$(T)
U+32AC5	𲫅	^⿰泉磊$(V)
U+32AC6	𲫆	^⿰氵鑒$(B)
U+32AC7	𲫇	^⿰氵孌$(T)
U+32AC8	𲫈	^⿰氵麟$(K)
U+32AC9	𲫉	^⿰氵戀$(B)
U+32ACA	𲫊	^⿰氵鷹$(K)
U+32ACB	𲫋	^⿺龍清$(V)
U+32ACC	𲫌	^⿰氵戇$(K)
U+32ACD	𲫍	^⿰火十$(K)
U+32ACE	𲫎	^⿱九灬$(G)
U+32ACF	𲫏	^⿱火下$(T)
U+32AD0	𲫐	^⿰火厄$(G)
U+32AD1	𲫑	^⿰火仒$(B)
U+32AD2	𲫒	^⿱水灬$(G)
U+32AD3	𲫓	^⿰火布$(G)
U+32AD4	𲫔	^⿰火世$(G)
U+32AD5	𲫕	^⿰火申$(T)
U+32AD6	𲫖	^⿰火丘$(TB)
U+32AD7	𲫗	^⿰火曳$(V)
U+32AD8	𲫘	^⿰分灰$(G)
U+32AD9	𲫙	^⿱伝灬$(G)
U+32ADA	𲫚	^⿰火如$(V)
U+32ADB	𲫛	^⿰火𱰤$(V)
U+32ADC	𲫜	^⿰火𢒈$(T)
U+32ADD	𲫝	^⿰火芒$(V)
U+32ADE	𲫞	^⿱犾灬$(T)
U+32ADF	𲫟	^⿰火肜$(T)
U+32AE0	𲫠	^⿱佔灬$(T)
U+32AE1	𲫡	^⿰火寽$(T)
U+32AE2	𲫢	^⿱白灰$(V)
U+32AE3	𲫣	^⿰火弃$(G)
U+32AE4	𲫤	^⿱灶火$(T)
U+32AE5	𲫥	^⿰火対$(V)
U+32AE6	𲫦	^⿰𤆰戈$(S)
U+32AE7	𲫧	^⿱招灬$(T)
U+32AE8	𲫨	^⿰火析$(B)
U+32AE9	𲫩	^⿰火幸$(B)
U+32AEA	𲫪	^⿱芼灬$(T)
U+32AEB	𲫫	^⿰火帛$(T)
U+32AEC	𲫬	^⿰火乖$(V)
U+32AED	𲫭	^⿱炏火$(T)
U+32AEE	𲫮	^⿰火法$(V)
U+32AEF	𲫯	^⿰火函$(B)
U+32AF0	𲫰	^⿱春灬$(T)
U+32AF1	𲫱	^⿰火毒$(B)
U+32AF2	𲫲	^⿰火昭$(T)
U+32AF3	𲫳	^⿰火茂$(B)
U+32AF4	𲫴	^⿱無𠃍$(K)
U+32AF5	𲫵	^⿰火律$(V)
U+32AF6	𲫶	^⿰火勇$(G)
U+32AF7	𲫷	^⿱姫灬$(T)
U+32AF8	𲫸	^⿰灵先$(V)
U+32AF9	𲫹	^⿰火秦$(G)
U+32AFA	𲫺	^⿰火耿$(B)
U+32AFB	𲫻	^⿰火聂$(B)
U+32AFC	𲫼	^⿰火𬙛$(V)
U+32AFD	𲫽	^⿰火窄$(B)
U+32AFE	𲫾	^⿰火除$(V)
U+32AFF	𲫿	^⿰火逐$(T)
U+32B00	𲬀	^⿰火規$(B)
U+32B01	𲬁	^⿰火⿱夭角$(B)
U+32B02	𲬂	^⿱𤈽灬$(T)
U+32B03	𲬃	^⿱淦火$(T)
U+32B04	𲬄	^⿱⿰來尤灬$(T)
U+32B05	𲬅	^⿰炭巠$(G)
U+32B06	𲬆	^⿳止𦨉灬$(S)
U+32B07	𲬇	^⿱歮灬$(T)
U+32B08	𲬈	^⿰火萃$(B)
U+32B09	𲬉	^⿱晶灬$(U)
U+32B0A	𲬊	^⿰火掣$(V)
U+32B0B	𲬋	^⿱焱火$(T)
U+32B0C	𲬌	^⿱隆灬$(GUB)
U+32B0D	𲬍	^⿰君⿱玄火$(B)
U+32B0E	𲬎	^⿱𣔾火$(S)
U+32B0F	𲬏	^⿱楙火$(T)
U+32B10	𲬐	^⿰火聖$(T)
U+32B11	𲬑	^⿰火暑$(G)
U+32B12	𲬒	^⿰火萲$(T)
U+32B13	𲬓	^⿰火睘$(T)
U+32B14	𲬔	^⿰火萱$(T)
U+32B15	𲬕	^⿱當灬$(T)
U+32B16	𲬖	^⿱暗灬$(B)
U+32B17	𲬗	^⿰火敬$(B)
U+32B18	𲬘	^⿰火督$(B)
U+32B19	𲬙	^⿰火嵩$(V)
U+32B1A	𲬚	^⿰火惹$(V)
U+32B1B	𲬛	^⿰火路$(V)
U+32B1C	𲬜	^⿱⿲幺言幺灬$(S)
U+32B1D	𲬝	^⿰火運$(B)
U+32B1E	𲬞	^⿱歆火$(V)
U+32B1F	𲬟	^⿰火駁$(B)
U+32B20	𲬠	^〾⿰䍃炎$(T)
U+32B21	𲬡	^⿱⿰鹿彡灬$(G)
U+32B22	𲬢	^⿱𤇾𡬠$(T)
U+32B23	𲬣	^⿱辣灬$(UB)
U+32B24	𲬤	^⿰火敲$(V)
U+32B25	𲬥	^⿱炏冡$(V)
U+32B26	𲬦	^⿰火暫$(T)
U+32B27	𲬧	^⿰火霄$(B)
U+32B28	𲬨	^⿰火⿱雀灬$(S)
U+32B29	𲬩	^⿰無㐬$(S)
U+32B2A	𲬪	^⿰火𧛱$(U)
U+32B2B	𲬫	^⿰火慶$(T)
U+32B2C	𲬬	^⿰火𬞕$(V)
U+32B2D	𲬭	^⿱𥊚火$(V)
U+32B2E	𲬮	^⿰炙渚$(V)
U+32B2F	𲬯	^⿱耨火$(V)
U+32B30	𲬰	^⿰炎紫$(G)
U+32B31	𲬱	^⿰火⿵門𰌼$(T)
U+32B32	𲬲	^⿰火螺$(V)
U+32B33	𲬳	^⿰火篷$(B)
U+32B34	𲬴	^⿰火簽$(T)
U+32B35	𲬵	^〾⿱𩕆灬$(T)
U+32B36	𲬶	^⿰熊冓$(V)
U+32B37	𲬷	^⿰火鶯$(T)
U+32B38	𲬸	^⿰火囊$(V)
U+32B39	𲬹	^⿱⿴𦥑同㷊$(S)
U+32B3A	𲬺	^⿱無⿰無無$(B)
U+32B3B	𲬻	^⿺爪圭$(GUB)
U+32B3C	𲬼	^⿺爪或$(B)
U+32B3D	𲬽	^⿱爫𡬠$(T)
U+32B3E	𲬾	^⿰爪夢$(V)
U+32B3F	𲬿	^⿱爫卛$(S)
U+32B40	𲭀	^⿰父卜$(G)
U+32B41	𲭁	^⿱父九$(G)
U+32B42	𲭂	^⿱父木$(T)
U+32B43	𲭃	^⿱父布$(V)
U+32B44	𲭄	^⿱父坡$(G)
U+32B45	𲭅	^⿰爿匕$(S)
U+32B46	𲭆	^⿰爿反$(V)
U+32B47	𲭇	^⿰爿瓜$(GUB)
U+32B48	𲭈	^⿸𤕫易$(S)
U+32B49	𲭉	^⿰爿害$(S)
U+32B4A	𲭊	^⿰丬真$(T)
U+32B4B	𲭋	^⿰片手$(S)
U+32B4C	𲭌	^⿰片矢$(V)
U+32B4D	𲭍	^⿰片頁$(B)
U+32B4E	𲭎	^⿰片昷$(T)
U+32B4F	𲭏	^⿰片浸$(V)
U+32B50	𲭐	^⿰片蜀$(T)
U+32B51	𲭑	^⿰片糁$(V)
U+32B52	𲭒	^⿰牙元$(G)
U+32B53	𲭓	^⿰文牙$(G)
U+32B54	𲭔	^⿰牙可$(G)
U+32B55	𲭕	^⿰含牙$(B)
U+32B56	𲭖	^⿺完牙$(G)
U+32B57	𲭗	^⿰牙夌$(V)
U+32B58	𲭘	^⿰牙肯$(B)
U+32B59	𲭙	^⿰象牙$(V)
U+32B5A	𲭚	^⿰牜么$(G)
U+32B5B	𲭛	^⿰牜午$(GV)
U+32B5C	𲭜	^⿰牜仇$(G)
U+32B5D	𲭝	^⿰牜公$(U)
U+32B5E	𲭞	^⿱奴牛$(T)
U+32B5F	𲭟	^⿰牜宅$(G)
U+32B60	𲭠	^⿱匊牛$(S)
U+32B61	𲭡	^⿰牜周$(TU)
U+32B62	𲭢	^⿰牜参$(G)
U+32B63	𲭣	^⿰牜兹$(B)
U+32B64	𲭤	^⿰娄牛$(V)
U+32B65	𲭥	^⿰牜兼$(B)
U+32B66	𲭦	^⿰牜鹿$(GB)
U+32B67	𲭧	^⿰牜麻$(B)
U+32B68	𲭨	^⿱⿰牜君牛$(T)
U+32B69	𲭩	^⿰牜僉$(S)
U+32B6A	𲭪	^⿰牜蹈$(T)
U+32B6B	𲭫	^⿰犭卜$(G)
U+32B6C	𲭬	^⿰犭又$(U)
U+32B6D	𲭭	^⿰犭口$(G)
U+32B6E	𲭮	^⿰犭不$(G)
U+32B6F	𲭯	^⿰犭夭$(G)
U+32B70	𲭰	^⿰犭勾$(G)
U+32B71	𲭱	^⿰犭方$(G)
U+32B72	𲭲	^⿰犭𡗕$(G)
U+32B73	𲭳	^⿰犭可$(GB)
U+32B74	𲭴	^⿰犭⿱大刀$(S)
U+32B75	𲭵	^⿰犭目$(GB)
U+32B76	𲭶	^⿰犭失$(G)
U+32B77	𲭷	^⿰犭乍$(G)
U+32B78	𲭸	^⿰犭㐱$(G)
U+32B79	𲭹	^⿰犭仕$(V)
U+32B7A	𲭺	^⿰犭立$(GB)
U+32B7B	𲭻	^⿰犭考$(G)
U+32B7C	𲭼	^⿰犭朿$(G)
U+32B7D	𲭽	^⿰犭艾$(GB)
U+32B7E	𲭾	^⿰犭仲$(G)
U+32B7F	𲭿	^⿰犭关$(G)
U+32B80	𲮀	^⿰犭赤$(G)
U+32B81	𲮁	^⿰犭克$(G)
U+32B82	𲮂	^⿰犭寿$(G)
U+32B83	𲮃	^⿰犭步$(G)
U+32B84	𲮄	^⿰犭攸$(G)
U+32B85	𲮅	^⿰犭⿱𠂉尼$(G)
U+32B86	𲮆	^⿰犭秀$(G)
U+32B87	𲮇	^⿰犭宋$(G)
U+32B88	𲮈	^⿰犭冷$(G)
U+32B89	𲮉	^⿰犭牢$(V)
U+32B8A	𲮊	^⿰犭努$(G)
U+32B8B	𲮋	^⿰犭妻$(G)
U+32B8C	𲮌	^⿰犭武$(GT)
U+32B8D	𲮍	^⿰犭奈$(V)
U+32B8E	𲮎	^⿰犭些$(G)
U+32B8F	𲮏	^⿰犭尚$(G)
U+32B90	𲮐	^⿰犭肯$(G)
U+32B91	𲮑	^⿰犭劳$(V)
U+32B92	𲮒	^⿰犭念$(G)
U+32B93	𲮓	^⿰犭变$(G)
U+32B94	𲮔	^⿰犭隶$(G)
U+32B95	𲮕	^⿰犭居$(G)
U+32B96	𲮖	^⿰犭頁$(G)
U+32B97	𲮗	^⿰犭垚$(G)
U+32B98	𲮘	^⿰犭苦$(G)
U+32B99	𲮙	^⿰犭昭$(V)
U+32B9A	𲮚	^⿰犭秋$(GT)
U+32B9B	𲮛	^⿰犭重$(VS)
U+32B9C	𲮜	^⿰犭𱬹$(V)
U+32B9D	𲮝	^⿰犭客$(GB)
U+32B9E	𲮞	^⿰犭前$(G)
U+32B9F	𲮟	^⿰犭𬙬$(T)
U+32BA0	𲮠	^⿰犭敄$(G)
U+32BA1	𲮡	^⿰犭屋$(G)
U+32BA2	𲮢	^⿰犭索$(G)
U+32BA3	𲮣	^⿰猇几$(B)
U+32BA4	𲮤	^⿰犭氣$(GV)
U+32BA5	𲮥	^⿰犭虒$(G)
U+32BA6	𲮦	^⿰犭隻$(G)
U+32BA7	𲮧	^⿰犭拿$(G)
U+32BA8	𲮨	^⿰犭窄$(G)
U+32BA9	𲮩	^⿰犭羔$(G)
U+32BAA	𲮪	^⿰犭家$(G)
U+32BAB	𲮫	^⿰犭害$(G)
U+32BAC	𲮬	^⿱𤇾犬$(T)
U+32BAD	𲮭	^⿰犭宰$(B)
U+32BAE	𲮮	^⿰隺犬$(U)
U+32BAF	𲮯	^⿰犭弱$(G)
U+32BB0	𲮰	^⿰犭盖$(G)
U+32BB1	𲮱	^⿰犭莽$(G)
U+32BB2	𲮲	^⿰犭魚$(G)
U+32BB3	𲮳	^⿰犭望$(G)
U+32BB4	𲮴	^⿰犭黑$(GB)
U+32BB5	𲮵	^⿰犭奡$(V)
U+32BB6	𲮶	^⿰犭圍$(G)
U+32BB7	𲮷	^⿰犭間$(G)
U+32BB8	𲮸	^⿰犭就$(G)
U+32BB9	𲮹	^⿰犭勞$(G)
U+32BBA	𲮺	^⿰犭尊$(G)
U+32BBB	𲮻	^⿰焱犬$(G)
U+32BBC	𲮼	^⿰⿱穴里犬$(T)
U+32BBD	𲮽	^⿰犭發$(G)
U+32BBE	𲮾	^⿰嗇犬$(G)
U+32BBF	𲮿	^⿰䖒犬$(G)
U+32BC0	𲯀	^⿲犭𦚏尤$(T)
U+32BC1	𲯁	^⿰犭聚$(G)
U+32BC2	𲯂	^⿰犭厭$(T)
U+32BC3	𲯃	^⿰睿犬$(G)
U+32BC4	𲯄	^⿰犭僕$(G)
U+32BC5	𲯅	^⿰犭舞$(G)
U+32BC6	𲯆	^⿰犭察$(GB)
U+32BC7	𲯇	^⿰犭麽$(G)
U+32BC8	𲯈	^⿰犭榮$(B)
U+32BC9	𲯉	^⿰犭賢$(G)
U+32BCA	𲯊	^⿰毒独$(G)
U+32BCB	𲯋	^⿰𠾧犬$(G)
U+32BCC	𲯌	^⿰犭黎$(GB)
U+32BCD	𲯍	^⿰犭槩$(V)
U+32BCE	𲯎	^⿰犭瘦$(V)
U+32BCF	𲯏	^⿰犭遼$(G)
U+32BD0	𲯐	^⿰盧犬$(T)
U+32BD1	𲯑	^⿰犭舉$(G)
U+32BD2	𲯒	^⿰犭斂$(G)
U+32BD3	𲯓	^⿰犭壘$(G)
U+32BD4	𲯔	^⿰犭難$(G)
U+32BD5	𲯕	^⿰犭繭$(G)
U+32BD6	𲯖	^⿰犭觸$(S)
U+32BD7	𲯗	^⿰犭韃$(G)
U+32BD8	𲯘	^⿰犭鬻$(G)
U+32BD9	𲯙	^⿰犭巖$(T)
U+32BDA	𲯚	^⿰玄欠$(G)
U+32BDB	𲯛	^⿱元玉$(B)
U+32BDC	𲯜	^⿰𤣩戶$(K)
U+32BDD	𲯝	^⿰𤣩布$(G)
U+32BDE	𲯞	^⿱玨下$(B)
U+32BDF	𲯟	^⿰𤣩罕$(T)
U+32BE0	𲯠	^⿰𤣩直$(B)
U+32BE1	𲯡	^⿰𤣩尚$(B)
U+32BE2	𲯢	^⿰𤣩肴$(B)
U+32BE3	𲯣	^⿱𢼄玉$(K)
U+32BE4	𲯤	^⿰𤣩庚$(T)
U+32BE5	𲯥	^⿰𤣩咢$(B)
U+32BE6	𲯦	^⿰𤣩𣶒$(T)
U+32BE7	𲯧	^⿰𤣩⿱𠆢镸$(T)
U+32BE8	𲯨	^⿰𤣩㒸$(T)
U+32BE9	𲯩	^⿰𤣩盈$(TK)
U+32BEA	𲯪	^⿰𤣩胥$(B)
U+32BEB	𲯫	^⿱琉玉$(T)
U+32BEC	𲯬	^⿳玨冖玉$(T)
U+32BED	𲯭	^⿰𤣩⿱𦉼㔾$(T)
U+32BEE	𲯮	^⿰𤣩逈$(K)
U+32BEF	𲯯	^⿰𤣩宫$(B)
U+32BF0	𲯰	^⿰𤣩逑$(T)
U+32BF1	𲯱	^⿰𤣩逐$(T)
U+32BF2	𲯲	^⿰𤣩乾$(B)
U+32BF3	𲯳	^⿰𤣩梁$(T)
U+32BF4	𲯴	^⿰𤣩宿$(B)
U+32BF5	𲯵	^⿰𤣩啟$(B)
U+32BF6	𲯶	^⿰𤣩替$(T)
U+32BF7	𲯷	^⿰𤣩森$(B)
U+32BF8	𲯸	^⿰𤣩朝$(B)
U+32BF9	𲯹	^⿰𤣩買$(T)
U+32BFA	𲯺	^⿰𤣩菱$(T)
U+32BFB	𲯻	^⿰𤣩𦊽$(T)
U+32BFC	𲯼	^⿱理尔$(V)
U+32BFD	𲯽	^⿰𤣩策$(K)
U+32BFE	𲯾	^⿰𤣩復$(T)
U+32BFF	𲯿	^⿰𤣩焱$(T)
U+32C00	𲰀	^⿰𤣩零$(T)
U+32C01	𲰁	^⿰珥每$(V)
U+32C02	𲰂	^⿰礼理$(V)
U+32C03	𲰃	^⿰𤣩農$(T)
U+32C04	𲰄	^⿰𤣩韮$(T)
U+32C05	𲰅	^⿰理多$(V)
U+32C06	𲰆	^⿱𦥯王$(T)
U+32C07	𲰇	^⿰𤣩雍$(B)
U+32C08	𲰈	^⿰𤣩蓁$(T)
U+32C09	𲰉	^⿰𤣩魁$(B)
U+32C0A	𲰊	^⿰𤣩翟$(T)
U+32C0B	𲰋	^⿰𤣩綠$(T)
U+32C0C	𲰌	^⿰𤣩輦$(B)
U+32C0D	𲰍	^⿰𤣩慶$(T)
U+32C0E	𲰎	^⿰𤣩蕃$(T)
U+32C0F	𲰏	^⿰𤣩冀$(B)
U+32C10	𲰐	^⿰𤣩霝$(B)
U+32C11	𲰑	^⿱臨玉$(B)
U+32C12	𲰒	^⿰𤣩爵$(B)
U+32C13	𲰓	^⿰𤣩賽$(GU)
U+32C14	𲰔	^⿰瓌欠$(B)
U+32C15	𲰕	^⿰𤣩欝$(T)
U+32C16	𲰖	^⿺瓜右$(G)
U+32C17	𲰗	^⿰骨瓜$(V)
U+32C18	𲰘	^⿰虛瓜$(S)
U+32C19	𲰙	^⿺瓦万$(G)
U+32C1A	𲰚	^⿺瓦中$(V)
U+32C1B	𲰛	^⿺瓦缶$(B)
U+32C1C	𲰜	^⿰瓦会$(V)
U+32C1D	𲰝	^⿺瓦克$(G)
U+32C1E	𲰞	^⿰孚瓦$(T)
U+32C1F	𲰟	^⿱叀瓦$(S)
U+32C20	𲰠	^⿰卷瓦$(B)
U+32C21	𲰡	^⿰瓦區$(T)
U+32C22	𲰢	^⿰第瓦$(G)
U+32C23	𲰣	^⿱𨐓瓦$(V)
U+32C24	𲰤	^⿰瓦會$(V)
U+32C25	𲰥	^⿰甚蜀$(T)
U+32C26	𲰦	^⿰稟甚$(V)
U+32C27	𲰧	^⿰生乃$(V)
U+32C28	𲰨	^⿰生申$(G)
U+32C29	𲰩	^⿰生白$(G)
U+32C2A	𲰪	^⿰生尼$(G)
U+32C2B	𲰫	^⿰生亚$(G)
U+32C2C	𲰬	^⿰生存$(T)
U+32C2D	𲰭	^⿰生妄$(B)
U+32C2E	𲰮	^⿺礼生$(V)
U+32C2F	𲰯	^⿱生弄$(V)
U+32C30	𲰰	^⿰生你$(V)
U+32C31	𲰱	^⿱林生$(G)
U+32C32	𲰲	^⿱𦉼生$(V)
U+32C33	𲰳	^⿰生兒$(S)
U+32C34	𲰴	^⿰生藍$(G)
U+32C35	𲰵	^⿰弗用$(B)
U+32C36	𲰶	^⿱田一$(G)
U+32C37	𲰷	^⿰田几$(G)
U+32C38	𲰸	^⿱刀田$(SB)
U+32C39	𲰹	^⿹{53}甲$(G)
U+32C3A	𲰺	^⿰田勾$(B)
U+32C3B	𲰻	^⿰田乏$(G)
U+32C3C	𲰼	^⿰男也$(B)
U+32C3D	𲰽	^⿰田同$(V)
U+32C3E	𲰾	^⿱田坐$(T)
U+32C3F	𲰿	^⿰田廷$(B)
U+32C40	𲱀	^⿱况田$(V)
U+32C41	𲱁	^⿰田岡$(B)
U+32C42	𲱂	^⿰田垂$(B)
U+32C43	𲱃	^⿰男光$(G)
U+32C44	𲱄	^⿰申春$(V)
U+32C45	𲱅	^⿰田思$(B)
U+32C46	𲱆	^⿰田累$(T)
U+32C47	𲱇	^⿺𱷥田$(V)
U+32C48	𲱈	^⿰男要$(G)
U+32C49	𲱉	^⿰異呂$(V)
U+32C4A	𲱊	^⿰田罪$(T)
U+32C4B	𲱋	^⿰田詹$(T)
U+32C4C	𲱌	^⿰田殿$(V)
U+32C4D	𲱍	^⿱畾共$(T)
U+32C4E	𲱎	^〾⿰番兼$(T)
U+32C4F	𲱏	^⿰異篭$(V)
U+32C50	𲱐	^⿱斬疋$(S)
U+32C51	𲱑	^⿰𤴔斬$(T)
U+32C52	𲱒	^⿸疒内$(V)
U+32C53	𲱓	^⿸疒灭$(B)
U+32C54	𲱔	^⿸疒申$(B)
U+32C55	𲱕	^⿸疒百$(G)
U+32C56	𲱖	^⿸疒亘$(V)
U+32C57	𲱗	^⿸疒耒$(V)
U+32C58	𲱘	^⿸疒后$(G)
U+32C59	𲱙	^⿸疒𱜢$(V)
U+32C5A	𲱚	^⿸疒麦$(B)
U+32C5B	𲱛	^⿸疒报$(V)
U+32C5C	𲱜	^⿸疒秀$(B)
U+32C5D	𲱝	^⿸疒完$(G)
U+32C5E	𲱞	^⿸疒弞$(S)
U+32C5F	𲱟	^⿸疒阴$(B)
U+32C60	𲱠	^⿸疒乳$(V)
U+32C61	𲱡	^⿸疒波$(G)
U+32C62	𲱢	^⿸疒轸$(G)
U+32C63	𲱣	^⿸疒𡘚$(B)
U+32C64	𲱤	^⿸疒厚$(V)
U+32C65	𲱥	^⿸疒背$(U)
U+32C66	𲱦	^⿸疒兹$(G)
U+32C67	𲱧	^⿸疒烕$(U)
U+32C68	𲱨	^⿸疒麥$(GU)
U+32C69	𲱩	^⿸疒挐$(B)
